model,vars,S,rel(S),Act,choices,*-opt,random,,max_depth,depth,best,best relative,time (best),time (all),tree depth,tree nodes,|M|,F,Fs=,F?,H?,H+
omdt-frozenlake_8x8,2,64,82.81,5,320,0.4146,0.0011,,2,2,0.387,0.9332,0.94,2.64,2,3,1.00E+08,1130,303,827,182,2
omdt-frozenlake_8x8,2,64,82.81,5,320,0.4146,0.0011,,3,3,0.3918,0.9447,904.19,1200.05,3,6,1.00E+19,337112,110117,226995,40380,3
omdt-frozenlake_8x8,2,64,82.81,5,320,0.4146,0.0011,,4,4,0.3959,0.9546,153.24,1200.07,4,8,1.00E+41,161805,57871,103934,9236,0
omdt-frozenlake_8x8,2,64,82.81,5,320,0.4146,0.0011,,5,5,0.3969,0.9572,244.18,1200.07,5,10,1.00E+84,74322,27180,47142,4553,0
omdt-frozenlake_8x8,2,64,82.81,5,320,0.4146,0.0011,,6,6,0.4146,1,958.05,958.19,6,31,1.00E+170,32619,10692,21927,2151,0
omdt-frozenlake_8x8,2,64,82.81,5,320,0.4146,0.0011,,7,7,0.4146,1,499.37,499.48,7,30,1e342,3143,1012,2131,216,0
omdt-frozenlake_8x8,2,64,82.81,5,320,0.4146,0.0011,,8,8,0.4146,1,387.7,387.83,7,30,1e686,101,34,67,5,0
omdt-frozenlake_12x12,2,144,87.50,5,720,0.3487,0.0002,,1,1,0.0207,0.0588,0.61,1.26,1,1,6050,623,48,575,209,8
omdt-frozenlake_12x12,2,144,87.50,5,720,0.3487,0.0002,,2,2,0.1177,0.3371,18.36,79.16,2,3,1.00E+09,26567,4629,21938,6178,6
omdt-frozenlake_12x12,2,144,87.50,5,720,0.3487,0.0002,,3,3,0.131,0.3753,214.06,1200.06,3,7,1.00E+22,185075,51795,133280,23258,1
omdt-frozenlake_12x12,2,144,87.50,5,720,0.3487,0.0002,,4,4,0.201,0.5763,804.22,1200.08,4,13,1.00E+46,96621,29333,67288,9021,2
omdt-frozenlake_12x12,2,144,87.50,5,720,0.3487,0.0002,,5,5,0.284,0.8142,326.21,1200.1,5,14,1.00E+96,41069,14771,26298,2251,0
omdt-frozenlake_12x12,2,144,87.50,5,720,0.3487,0.0002,,6,6,0.3049,0.8742,1150.44,1200.21,6,25,1.00E+194,15419,5491,9928,940,3
omdt-frozenlake_12x12,2,144,87.50,5,720,0.3487,0.0002,,7,7,0.3005,0.8615,520.89,1200.14,6,20,1e392,14128,4832,9296,746,0
