model,vars,S,rel(S),Act,choices,*-opt,random,Unnamed: 8,max_depth,depth,best,best relative,time (best),time (all),tree depth,tree nodes,|M|,F,Fs=,F?,H?,H+,dtcontrol nodes,dtcontrol depth,dtcontrol time,omdt time,omdt best,omdt bound,omdt depth,omdt nodes,omdt time (best)
csma-2-4,11,7959,99.99,17,135303,0.3919,0.3852,,4,2,0.3919,1.0,75.04,82.43,2,3,1.00E+35,147,25,122,30,1,40,12,00:00:00.157,1265.5667879581451,0.3900957651,39.19103308,4,9,1057
csma-2-4,11,7959,99.99,17,135303,0.3919,0.3852,,5,2,0.3919,1.0,73.94,81.24,2,3,1.00E+35,147,25,122,30,1,40,12,00:00:00.157,1323.4851808547974,0.3851938948,39.19103308,5,5,81
csma-2-4,11,7959,99.99,17,135303,0.3919,0.3852,,6,2,0.3919,1.0,74.86,82.38,2,3,1.00E+35,147,25,122,30,1,40,12,00:00:00.157,1449.4575443267822,0.3882811995,39.19103308,6,28,1150
csma-2-4,11,7959,99.99,17,135303,0.3919,0.3852,,7,2,0.3919,1.0,73.06,80.32,2,3,1.00E+35,147,25,122,30,1,40,12,00:00:00.157,1723.6680991649628,0.3882811995,39.19103308,7,13,1037
csma-2-4,11,7959,99.99,17,135303,0.3919,0.3852,,8,2,0.3919,1.0,75.58,83.05,2,3,1.00E+35,147,25,122,30,1,40,12,00:00:00.157,2295.3771641254425,0.3821206311,2143.434343,0,0,853
firewire-3,10,4094,99.98,14,57316,-70.0449,-76.3381,,1,1,-70.5254,0.9237,21.11,121.72,1,1,1.00E+12,3667,196,3471,1107,7,18,10,00:00:00.129,1207.514592885971,-70.52541927,-70.0449471,1,1,985
firewire-3,10,4094,99.98,14,57316,-70.0449,-76.3381,,2,2,-70.3507,0.9514,149.44,1200.05,2,3,1.00E+36,16508,3720,12788,2227,3,18,10,00:00:00.129,1211.5550212860107,-73.36539831,-70.0449471,2,3,1194
firewire-3,10,4094,99.98,14,57316,-70.0449,-76.3381,,3,3,-70.1466,0.9838,706.21,1200.07,3,6,1.00E+83,7827,2158,5669,752,2,18,10,00:00:00.129,1220.1443791389463,-73.2536211,-70.0449471,3,5,1171
firewire-3,10,4094,99.98,14,57316,-70.0449,-76.3381,,4,4,-70.2747,0.9635,522.41,1200.27,4,11,1.00E+177,2888,617,2271,435,0,18,10,00:00:00.129,1237.8298108577728,-70.30584036,-70.0449471,4,11,972
firewire-3,10,4094,99.98,14,57316,-70.0449,-76.3381,,5,5,-70.0988,0.9914,558.25,1200.44,5,14,1e365,1993,375,1618,373,0,18,10,00:00:00.129,1275.1807610988617,-76.21476983,-70.0449471,5,15,1189
firewire-3,10,4094,99.98,14,57316,-70.0449,-76.3381,,6,5,-70.0988,0.9914,478.22,516.98,5,14,1e365,246,68,178,33,0,18,10,00:00:00.129,1352.5949075222015,-75.53722803,-70.0449471,6,34,1095
firewire-3,10,4094,99.98,14,57316,-70.0449,-76.3381,,7,5,-70.0988,0.9914,421.55,445.71,5,14,1e365,205,61,144,25,0,18,10,00:00:00.129,1518.6629054546356,-75.3432052,-70.0449471,7,26,979
firewire-3,10,4094,99.98,14,57316,-70.0449,-76.3381,,8,5,-70.0988,0.9914,385.36,392.93,5,14,1e365,150,47,103,23,0,18,10,00:00:00.129,1869.054205656052,-78.25816153,-70.0449471,0,0,586
philosophers-4,4,3193,99.97,53,169229,0.9606,0.8803,,1,1,0.8987,0.2285,34.54,481.87,1,1,1.00E+07,13131,358,12773,4158,7,6,3,00:00:00.002,1223.0485169887545,0.8803487595,95.16356532,0,0,1007
philosophers-4,4,3193,99.97,53,169229,0.9606,0.8803,,2,2,0.8987,0.2285,35.42,1200.12,1,1,1.00E+19,17747,468,17279,5684,0,6,3,00:00:00.002,1228.702462434769,0.8845266926,94.62307437,2,3,635
philosophers-4,4,3193,99.97,53,169229,0.9606,0.8803,,3,3,0.9074,0.3371,1112.22,1200.2,3,4,1.00E+43,9947,623,9324,2953,8,6,3,00:00:00.002,1241.7638037204742,0.8860549042,94.86579511,3,5,1165
philosophers-4,4,3193,99.97,53,169229,0.9606,0.8803,,4,4,0.9073,0.3365,1162.26,1200.38,4,8,1.00E+90,2657,248,2409,740,13,6,3,00:00:00.002,1296.491586685181,0.8803487595,95.16356532,0,0,30
philosophers-4,4,3193,99.97,53,169229,0.9606,0.8803,,5,5,0.908,0.345,515.48,1200.23,5,9,1.00E+185,1078,266,812,167,2,6,3,00:00:00.002,1365.762235403061,0.8803487595,2621833.333,0,0,61
philosophers-4,4,3193,99.97,53,169229,0.9606,0.8803,,6,6,0.9176,0.4646,563.7,1204.69,6,14,1e375,293,88,205,45,3,6,3,00:00:00.002,1495.8941760063171,0.8803487595,2621833.333,0,0,117
philosophers-4,4,3193,99.97,53,169229,0.9606,0.8803,,7,7,0.9176,0.4646,494.49,1201.87,6,14,1e755,252,61,191,51,0,6,3,00:00:00.002,1732.5311450958252,0.880281614,2621833.333,0,0,245
philosophers-4,4,3193,99.97,53,169229,0.9606,0.8803,,8,8,0.9176,0.4646,439.47,1208.2,6,14,1e755,40,16,24,12,0,6,3,00:00:00.002,2341.1497373580933,0.880281614,2621833.333,0,0,522
pnueli-zuck-3,3,1950,99.95,63,122850,0.9606,0.649,,1,1,0.8442,0.6266,64.87,85.06,1,1,1.00E+07,2293,77,2216,724,7,4,3,00:00:00.004,1214.8819081783297,0.7421538183,0.9574257229,0,0,1082
pnueli-zuck-3,3,1950,99.95,63,122850,0.9606,0.649,,2,2,0.9606,1.0,136.65,220.83,2,3,1.00E+18,3225,1133,2092,116,2,4,3,00:00:00.004,1219.0719468593595,0.6019315814,0.96059601,2,2,400
pnueli-zuck-3,3,1950,99.95,63,122850,0.9606,0.649,,3,2,0.9606,1.0,137.05,221.54,2,3,1.00E+18,3225,1133,2092,116,2,4,3,00:00:00.004,1227.8286101818085,0.6529678721,0.96059601,3,3,399
pnueli-zuck-3,3,1950,99.95,63,122850,0.9606,0.649,,4,2,0.9606,1.0,137.09,221.55,2,3,1.00E+18,3225,1133,2092,116,2,4,3,00:00:00.004,1248.070315361023,0.6555683396,0.96059601,3,4,877
pnueli-zuck-3,3,1950,99.95,63,122850,0.9606,0.649,,5,2,0.9606,1.0,137.33,205.34,2,3,1.00E+18,2826,975,1851,116,2,4,3,00:00:00.004,1290.4833800792694,0.6561750612,0.96059601,5,6,527
pnueli-zuck-3,3,1950,99.95,63,122850,0.9606,0.649,,6,2,0.9606,1.0,138.05,185.97,2,3,1.00E+18,2343,783,1560,116,2,4,3,00:00:00.004,1385.8179099559784,0.6529678721,0.96059601,0,0,90
pnueli-zuck-3,3,1950,99.95,63,122850,0.9606,0.649,,7,2,0.9606,1.0,137.45,171.27,2,3,1.00E+18,1992,646,1346,116,2,4,3,00:00:00.004,1585.8199229240415,0.6529678721,256581.8182,0,0,177
pnueli-zuck-3,3,1950,99.95,63,122850,0.9606,0.649,,8,2,0.9606,1.0,131.78,154.41,2,3,1.00E+18,1721,539,1182,116,2,4,3,00:00:00.004,2022.5687396526337,0.6529678721,256581.8182,0,0,361
rabin-4,19,10241,99.99,17,174097,0.9606,0.9225,,1,1,0.9411,0.4877,10.95,129.12,1,1,1.00E+08,2340,89,2251,719,3,4,4,00:00:00.003,1232.4404418468475,0.9225187468,96.059601,0,0,759
rabin-4,19,10241,99.99,17,174097,0.9606,0.9225,,2,2,0.9606,1.0,529.63,529.94,2,2,1.00E+24,1923,346,1577,350,5,4,4,00:00:00.003,1570.1640179157257,0.9225187468,1193818.651,0,0,12
rabin-4,19,10241,99.99,17,174097,0.9606,0.9225,,3,3,0.945,0.5914,355.52,1200.42,3,5,1.00E+54,2495,497,1998,408,0,4,4,00:00:00.003,1255.7510871887207,0.9300511035,96.059601,3,5,996
rabin-4,19,10241,99.99,17,174097,0.9606,0.9225,,4,4,0.9427,0.5294,477.47,1201.09,4,7,1.00E+115,1119,402,717,9,1,4,4,00:00:00.003,1285.7272641658783,0.9183048038,96.059601,4,5,775
rabin-4,19,10241,99.99,17,174097,0.9606,0.9225,,5,5,0.9456,0.6064,623.65,1200.49,4,9,1.00E+236,211,68,143,15,1,4,4,00:00:00.003,1685.248485326767,0.9225187468,1195801.01,0,0,92
rabin-4,19,10241,99.99,17,174097,0.9606,0.9225,,6,6,0.9469,0.6402,733.29,1200.45,5,14,1e480,218,16,202,70,1,4,4,00:00:00.003,1843.4692659378047,0.9225187468,1195801.01,0,0,208
rabin-4,19,10241,99.99,17,174097,0.9606,0.9225,,7,7,0.9606,1.0,894.04,894.78,7,13,1e966,2,0,2,0,0,4,4,00:00:00.003,2158.678960084915,0.9225187468,1195801.01,0,0,440
rabin-4,19,10241,99.99,17,174097,0.9606,0.9225,,8,6,0.9606,1.0,538.91,539.35,5,14,1e480,2,0,2,0,0,4,4,00:00:00.003,2863.46382856369,0.9225187468,1195801.01,0,0,950
resource-gathering-5,7,3292,99.97,5,16460,-47.7105,-99.877,,1,1,-95.1392,0.0908,0.63,3.21,1,1,70000,286,33,253,72,3,7,5,00:00:00.007,488.5817766189575,-95.14077447,-95.13990467,1,1,388
resource-gathering-5,7,3292,99.97,5,16460,-47.7105,-99.877,,2,2,-53.9064,0.8812,48.73,89.66,2,3,1.00E+13,8881,1739,7142,1583,4,7,5,00:00:00.007,1202.8207824230194,-85.39771385,-47.71054798,2,3,1012
resource-gathering-5,7,3292,99.97,5,16460,-47.7105,-99.877,,3,3,-47.7105,1.0,92.38,92.83,3,5,1.00E+29,36,11,25,1,0,7,5,00:00:00.007,1204.256369829178,-98.95618657,-47.71054798,3,4,1161
resource-gathering-5,7,3292,99.97,5,16460,-47.7105,-99.877,,4,3,-47.7105,1.0,95.0,95.48,3,5,1.00E+29,36,11,25,1,0,7,5,00:00:00.007,1207.877922296524,-87.69873852,-47.71054798,4,11,923
resource-gathering-5,7,3292,99.97,5,16460,-47.7105,-99.877,,5,3,-47.7105,1.0,98.65,99.15,3,5,1.00E+29,36,11,25,1,0,7,5,00:00:00.007,1215.345344543457,-91.57244946,-47.71054798,5,19,743
resource-gathering-5,7,3292,99.97,5,16460,-47.7105,-99.877,,6,3,-47.7105,1.0,91.23,91.69,3,5,1.00E+29,36,11,25,1,0,7,5,00:00:00.007,1230.4043312072754,-96.76637361,-47.71054798,6,25,1075
resource-gathering-5,7,3292,99.97,5,16460,-47.7105,-99.877,,7,3,-47.7105,1.0,90.19,90.63,3,5,1.00E+29,36,11,25,1,0,7,5,00:00:00.007,1264.5883054733276,-99.91144305,-47.71054798,4,7,998
resource-gathering-5,7,3292,99.97,5,16460,-47.7105,-99.877,,8,3,-47.7105,1.0,79.56,80.01,3,5,1.00E+29,36,11,25,1,0,7,5,00:00:00.007,1336.2127764225006,-99.99999948,-47.71054798,1,1,92
wlan-1-2,11,3127,99.9,34,106318,0.1083,0.0273,,1,1,0.0453,0.2228,6.65,110.15,1,1,1.00E+11,2884,119,2765,905,6,68,11,00:00:00.107,1210.8890874385834,0.0395490006,0.1082709837,1,1,639
wlan-1-2,11,3127,99.9,34,106318,0.1083,0.0273,,2,2,0.0612,0.4188,203.36,1200.09,2,3,1.00E+31,20787,1233,19554,6023,11,68,11,00:00:00.107,1215.0410749912262,0.04457627434,0.1082709837,2,2,672
wlan-1-2,11,3127,99.9,34,106318,0.1083,0.0273,,3,3,0.0747,0.5852,1032.51,1200.08,3,6,1.00E+70,5589,1050,4539,1031,12,68,11,00:00:00.107,1223.72483253479,0.04201439747,0.1082709837,3,6,1109
wlan-1-2,11,3127,99.9,34,106318,0.1083,0.0273,,4,4,0.0747,0.5852,1097.8,1200.1,4,8,1.00E+150,4998,380,4618,1446,1,68,11,00:00:00.107,1242.769270181656,0.03817348012,0.1082709837,0,0,26
wlan-1-2,11,3127,99.9,34,106318,0.1083,0.0273,,5,5,0.0708,0.5378,536.66,1203.08,5,19,1.00E+308,466,178,288,10,2,68,11,00:00:00.107,1282.0655653476715,0.0382994155,0.1082709837,5,23,1120
wlan-1-2,11,3127,99.9,34,106318,0.1083,0.0273,,6,6,0.0747,0.5853,692.65,1209.81,6,22,1e625,83,38,45,10,2,68,11,00:00:00.107,1369.6521983146667,0.02738726995,0.1082709837,3,3,1000
wlan-1-2,11,3127,99.9,34,106318,0.1083,0.0273,,7,7,0.0747,0.5852,646.86,1206.32,6,22,1e1260,148,56,92,8,1,68,11,00:00:00.107,1553.2592480182648,0.02730039611,3503.030303,7,7,253
wlan-1-2,11,3127,99.9,34,106318,0.1083,0.0273,,8,8,0.0754,0.5945,860.69,1209.5,7,28,1e1260,51,22,29,8,1,68,11,00:00:00.107,1962.8700246810915,0.02730039611,3503.030303,0,0,538
